branch,time,ok
randm-02-01-mutant-cb,127.12s,True
randm-02-02-mutant-cb,121.23s,True
randm-02-03-mutant-cb,124.06s,True
randm-02-04-mutant-cb,53.25s,True
randm-02-05-mutant-cb,135.04s,True
randm-02-06-mutant-cb,148.91s,True
randm-02-07-mutant-cb,53.75s,True
randm-02-08-mutant-cb,147.91s,True
randm-02-09-mutant-cb,55.28s,True
randm-02-10-mutant-cb,51.35s,True
randm-02-base-cb,131.65s,True
randm-02-01-mutant-ib,153.13s,True
randm-02-02-mutant-ib,144.54s,True
randm-02-03-mutant-ib,106.31s,True
randm-02-04-mutant-ib,57.6s,True
randm-02-05-mutant-ib,105.26s,True
randm-02-06-mutant-ib,100.37s,True
randm-02-07-mutant-ib,57.19s,True
randm-02-08-mutant-ib,104.54s,True
randm-02-09-mutant-ib,56.94s,True
randm-02-10-mutant-ib,54.59s,True
